{'loss': 0.8494, 'grad_norm': 0.13210594654083252, 'learning_rate': 1.9325566000412377e-05, 'epoch': 0.41}
{'loss': 0.8686, 'grad_norm': 0.13605673611164093, 'learning_rate': 1.9318378276317998e-05, 'epoch': 0.41}
{'loss': 0.8696, 'grad_norm': 0.11779438704252243, 'learning_rate': 1.9311153804792814e-05, 'epoch': 0.42}
{'loss': 0.8724, 'grad_norm': 0.12838715314865112, 'learning_rate': 1.9303892614326835e-05, 'epoch': 0.42}
{'loss': 0.8582, 'grad_norm': 0.10182671993970871, 'learning_rate': 1.929659473355489e-05, 'epoch': 0.42}
{'loss': 0.8673, 'grad_norm': 0.1317586451768875, 'learning_rate': 1.9289260191256484e-05, 'epoch': 0.42}
{'loss': 0.8758, 'grad_norm': 0.10948154330253601, 'learning_rate': 1.928188901635571e-05, 'epoch': 0.42}
{'loss': 0.8899, 'grad_norm': 0.1356913149356842, 'learning_rate': 1.9274481237921114e-05, 'epoch': 0.42}
{'loss': 0.8762, 'grad_norm': 0.1269310712814331, 'learning_rate': 1.926703688516559e-05, 'epoch': 0.42}
{'loss': 0.8621, 'grad_norm': 0.1365557610988617, 'learning_rate': 1.925955598744627e-05, 'epoch': 0.42}
{'loss': 0.8662, 'grad_norm': 0.1469336748123169, 'learning_rate': 1.9252038574264403e-05, 'epoch': 0.42}
{'loss': 0.8809, 'grad_norm': 0.15483881533145905, 'learning_rate': 1.9244484675265235e-05, 'epoch': 0.43}
{'loss': 0.8736, 'grad_norm': 0.131490558385849, 'learning_rate': 1.9236894320237894e-05, 'epoch': 0.43}
{'loss': 0.8777, 'grad_norm': 0.13916775584220886, 'learning_rate': 1.922926753911527e-05, 'epoch': 0.43}
{'loss': 0.8827, 'grad_norm': 0.1325524002313614, 'learning_rate': 1.922160436197392e-05, 'epoch': 0.43}
{'loss': 0.8763, 'grad_norm': 0.1515035480260849, 'learning_rate': 1.9213904819033904e-05, 'epoch': 0.43}
{'loss': 0.8552, 'grad_norm': 0.14738944172859192, 'learning_rate': 1.9206168940658713e-05, 'epoch': 0.43}
{'loss': 0.8637, 'grad_norm': 0.18361309170722961, 'learning_rate': 1.9198396757355118e-05, 'epoch': 0.43}
{'loss': 0.8604, 'grad_norm': 0.1571851521730423, 'learning_rate': 1.9190588299773064e-05, 'epoch': 0.43}
{'loss': 0.8717, 'grad_norm': 0.14168740808963776, 'learning_rate': 1.9182743598705543e-05, 'epoch': 0.43}
{'loss': 0.8831, 'grad_norm': 0.14704959094524384, 'learning_rate': 1.9174862685088472e-05, 'epoch': 0.44}
{'loss': 0.8724, 'grad_norm': 0.16608445346355438, 'learning_rate': 1.9166945590000587e-05, 'epoch': 0.44}
{'loss': 0.8753, 'grad_norm': 0.13486480712890625, 'learning_rate': 1.9158992344663282e-05, 'epoch': 0.44}
{'loss': 0.8536, 'grad_norm': 0.14496488869190216, 'learning_rate': 1.915100298044054e-05, 'epoch': 0.44}
{'loss': 0.8659, 'grad_norm': 0.1622610241174698, 'learning_rate': 1.9142977528838763e-05, 'epoch': 0.44}
{'loss': 0.8748, 'grad_norm': 0.1458142101764679, 'learning_rate': 1.9134916021506667e-05, 'epoch': 0.44}
{'loss': 0.8545, 'grad_norm': 0.18712201714515686, 'learning_rate': 1.912681849023516e-05, 'epoch': 0.44}
{'loss': 0.8672, 'grad_norm': 0.21764838695526123, 'learning_rate': 1.9118684966957207e-05, 'epoch': 0.44}
{'loss': 0.8733, 'grad_norm': 0.17362149059772491, 'learning_rate': 1.9110515483747716e-05, 'epoch': 0.44}
{'loss': 0.8781, 'grad_norm': 0.1679520308971405, 'learning_rate': 1.9102310072823392e-05, 'epoch': 0.45}
{'loss': 0.8662, 'grad_norm': 0.18569542467594147, 'learning_rate': 1.9094068766542642e-05, 'epoch': 0.45}
{'loss': 0.8628, 'grad_norm': 0.21560519933700562, 'learning_rate': 1.9085791597405404e-05, 'epoch': 0.45}
{'loss': 0.8526, 'grad_norm': 0.1456862837076187, 'learning_rate': 1.9077478598053062e-05, 'epoch': 0.45}
{'loss': 0.8659, 'grad_norm': 0.17023654282093048, 'learning_rate': 1.9069129801268292e-05, 'epoch': 0.45}
{'loss': 0.8789, 'grad_norm': 0.20795021951198578, 'learning_rate': 1.906074523997494e-05, 'epoch': 0.45}
{'loss': 0.8717, 'grad_norm': 0.1725207418203354, 'learning_rate': 1.9052324947237883e-05, 'epoch': 0.45}
{'loss': 0.8696, 'grad_norm': 0.1481473445892334, 'learning_rate': 1.9043868956262913e-05, 'epoch': 0.45}
{'loss': 0.8625, 'grad_norm': 0.16285493969917297, 'learning_rate': 1.9035377300396597e-05, 'epoch': 0.46}
{'loss': 0.8732, 'grad_norm': 0.18300683796405792, 'learning_rate': 1.902685001312616e-05, 'epoch': 0.46}
